prompt,response
Describe the typical DNS resolution process for `www.example.com`.,1. Client queries Recursive Resolver. 2. Resolver queries Root Server for .com. 3. Root Server returns TLD Server for .com. 4. Resolver queries .com TLD Server for example.com. 5. TLD Server returns Authoritative Server for example.com. 6. Resolver queries Authoritative Server for www.example.com. 7. Authoritative Server returns IP for www.example.com. 8. Resolver returns IP to client.
What is an 'iterative query' in DNS?,"A query where the DNS server responds with the best information it has (e.g., a pointer to another DNS server) instead of the final answer, requiring the resolver to make subsequent queries."
What is a 'recursive query' in DNS?,"A query where the DNS resolver is expected to provide the complete answer (the IP address) to the client, handling all iterative queries on its behalf."
What is `DNS Caching`?,The process of storing DNS resolution results (IP addresses) in memory for a period to speed up future lookups and reduce network traffic.
What is 'Time-to-Live' (TTL) in DNS records?,A value in seconds that indicates how long a DNS resolver or client should cache a DNS record before requesting a fresh copy from the authoritative server.
What happens if TTL is set too high?,"Changes to DNS records will take a long time to propagate, potentially causing service outages if IPs change."
What happens if TTL is set too low?,"Can lead to excessive DNS queries, increasing load on authoritative servers and potentially slowing down resolution."
What is an 'A Record'?,"Maps a domain name to an IPv4 address (e.g., example.com to 192.0.2.1)."
What is an 'AAAA Record'?,"Maps a domain name to an IPv6 address (e.g., example.com to 2001:0db8::1)."
What is a 'CNAME Record' (Canonical Name)?,"Maps an alias domain name to another canonical (true) domain name, not directly to an IP address."
What is 'CNAME Flattening' (or ANAME/ALIAS records)?,A feature offered by some DNS providers that allows a CNAME-like behavior at the zone apex by resolving the target to an IP address and returning an A record instead of the CNAME.
What is an 'MX Record' (Mail Exchanger)?,"Specifies the mail server(s) responsible for accepting email messages on behalf of a domain, including a preference value."
What is the purpose of the preference value in MX records?,To indicate the order in which mail servers should be tried (lower value indicates higher preference).
What is an 'NS Record' (Name Server)?,Delegates a DNS zone to specific authoritative name servers.
What is a 'PTR Record' (Pointer Record)?,"Used for reverse DNS lookups, mapping an IP address back to a domain name."
Where are PTR records configured?,"Typically in IP address blocks delegated by an ISP or cloud provider, in an `in-addr.arpa` (IPv4) or `ip6.arpa` (IPv6) zone."
What is an 'SRV Record' (Service Record)?,"Specifies the location (hostname and port number) of servers for specific services (e.g., SIP, XMPP, LDAP)."
What information does an SRV record typically contain?,"Service, Protocol, Name, TTL, Class, Priority, Weight, Port, and Target."
What is a 'TXT Record' (Text Record)?,"Holds arbitrary descriptive text. Commonly used for email authentication (SPF, DKIM, DMARC) or domain verification."
What is `SPF` (Sender Policy Framework)?,An email authentication method that helps prevent email spoofing by allowing domain owners to specify which mail servers are authorized to send email on their behalf via a TXT record.
What is `DKIM` (DomainKeys Identified Mail)?,"An email authentication method that uses a digital signature to verify the sender of an email and ensure the message hasn't been tampered with in transit, using a TXT record for the public key."
What is a 'Wildcard DNS Record'?,"A record (e.g., `*.example.com`) that matches requests for undefined subdomains within a domain."
What is `DNSSEC` (DNS Security Extensions)?,"A suite of specifications that add a layer of security to the DNS protocol by digitally signing DNS records, protecting against DNS spoofing and cache poisoning."
How does DNSSEC protect against attacks?,"By providing origin authentication of DNS data and data integrity verification, ensuring that DNS responses are authentic and have not been tampered with."
What is `DNS Spoofing` (or DNS Cache Poisoning)?,"An attack where corrupted DNS data is introduced into a DNS resolver's cache, causing the resolver to return an incorrect IP address for a domain, redirecting users to malicious sites."
What is `DNS over HTTPS (DoH)`?,"A protocol for performing remote DNS resolution via the HTTPS protocol, encrypting DNS queries to enhance privacy and security."
